id,name,isoCode,description,idBaseUnit,magnitude,typeUnit
1,EUR (€),EUR,Euro - official currency of the eurozone or euro area,1,1.0,currency
2,thousand EUR (€),,thousand Euro,1,1000.0,currency
3,million EUR (€),,million Euro,1,1000000.0,currency
4,billion EUR (€),,billion Euro,1,1000000000.0,currency
5,USD (US$),USD,US Dollar - official currency of the United States of America,5,1.0,currency
6,thousand USD (US$),,thousands US$,5,1000.0,currency
7,million USD (US$),,million US$,5,1000000.0,currency
8,billion USD (US$),,billion US$,5,1000000000.0,currency
9,kilograms,,aprx.  mass of 1 litre of water,9,1.0,volume
10,million kilograms,,aprx.  mass of 1 litre of water - in million,9,1000000.0,volume
11,grams,,1/1000 of kg,9,0.001,volume
12,tons,,1000 of kg,9,1000.0,volume
13,percent,,1/100 of something,13,1.0,percentage
14,thousand,,1000 of something,63,1000.0,special - units
15,litres,,one litre is the volume of a cube with 10 cm sides,15,1.0,volume
16,million litres,,one million litre,15,1000000.0,volume
17,pairs,,a set of two - xMO published unit,17,1.0,special - units
18,million pairs,,millions of pair - xMO published unit,17,1000000.0,special - units
19,pieces,,xMO published unit,19,1.0,special - units
20,million pieces,,millions of pieces - xMO published unit,19,1000000.0,special - units
21,vehicles,,vehicles - xMO published unit,21,1.0,special - units
22,thousand vehicles,,thousand vehicles - xMO published unit,21,1000.0,special - units
23,million vehicles,,million vehicles - xMO published unit,21,1000000.0,special - units
24,motorcycles,,motorcyles - xMO published unit,24,1.0,special - units
25,thousand motorcycles,,thousand motorcycles - xMO published unit,24,1000.0,special - units
26,million motocyles,,million motorcyles - xMO published unit,24,1000000.0,special - units
27,cars,,cars - xMO published unit,27,1.0,special - units
28,thousand cars,,thousand cars - xMO published unit,27,1000.0,special - units
29,million cars,,million cars - xMO published unit,27,1000000.0,special - units
30,millions,,1000000 of something,63,1000000.0,special - units
31,AUD (AU$),AUD,Australian Dollar - official currency of the Australia,31,1.0,currency
32,JPY (JP¥),JPY,Japanese Yen - official currency of the Japan,32,1.0,currency
33,CAD (C$),CAD,Canadian Dollars - official currency of the Canada,33,1.0,currency
34,GBP (£),GBP,British pounds - official currency of the United Kingdom,34,1.0,currency
35,INR (₹),INR,Indian ripee - official currency on India,35,1.0,currency
36,CNY (CN¥),CNY,Chinese yuan renminbi - official currency of China,36,1.0,currency
37,CHF (CHF),CHF,Swiss Franc - official currency of Switzerland,37,1.0,currency
38,KRW (₩),KRW,South Korean Wong - official currency of South Korea,38,1.0,currency
39,thousands AUD (AU$),,thousands australian dollar,31,1000.0,currency
40,million AUD (AU$),,million  australian dollar,31,1000000.0,currency
41,billion AUD (AU$),,billion australian dollar,31,1000000000.0,currency
42,thousands JPY (JP¥),,thousands japanese yen,32,1000.0,currency
43,million JPY (JP¥),,million japanese yen,32,1000000.0,currency
44,billion JPY (JP¥),,billion japanese yen,32,1000000000.0,currency
45,thousands CAD (C$),,thousands canadian dollar,33,1000.0,currency
46,million CAD (C$),,million canadian dollar,33,1000000.0,currency
47,billion CAD (C$),,billion canadian dollar,33,1000000000.0,currency
48,thousands GBP (£),,thousands british pound,34,1000.0,currency
49,million GBP (£),,million british pound,34,1000000.0,currency
50,billion GBP (£),,billion british pound,34,1000000000.0,currency
51,thousands INR (₹),,thousands indian ripee,35,1000.0,currency
52,million INR (₹),,million indian ripee,35,1000000.0,currency
53,billion INR (₹),,billion indian ripee,35,1000000000.0,currency
54,thousands CNY (CN¥),,thousands chinese yuan renminbi,36,1000.0,currency
55,million CNY (CN¥),,million chinese yuan renminbi,36,1000000.0,currency
56,billion CNY (CN¥),,billion chinese yuan renminbi,36,1000000000.0,currency
57,thousands CHF (CHF),,thousands swiss franc,37,1000.0,currency
58,million CHF (CHF),,million swiss franc,37,1000000.0,currency
59,billion CHF (CHF),,billion swiss franc,37,1000000000.0,currency
60,thousands KRW (₩),,thousands south korean won,38,1000.0,currency
61,million KRW (₩),,million south korean won,38,1000000.0,currency
62,billion KRW (₩),,billion south korean won,38,1000000000.0,currency
63,#,,one of something,63,1.0,special - units
64,degree Celsius,,[ degreeC] = [K] - 273.15,64,1.0,temperature
65,special unit,,"Used for special units, e.g. users, households, cars, etc.",65,1.0,special - units
66,metre,,one meter equlas 10 cm,66,1.0,length
67,index,,A single number calculated from an array of features (e.g. prices and quantities or similar properties) in order to reduce the dimensionality of data,67,1.0,special - index
68,kbit/s,,connection speed,68,1.0,connection speed
69,Mbit/s,,connection speed,68,1024.0,connection speed
70,Undefined,,units for tables and texts,70,1.0,special - units
71,users,,user of markets,71,1.0,special - units
72,thousand users,,thousand of users,71,1000.0,special - units
73,million users,,million of users,71,1000000.0,special - units
74,billion users,,billion of users,71,1000000000.0,special - units
75,days,,days,75,1.0,special - units
76,months,,months,75,30.0,special - units
77,years,,years,75,365.25,special - units
78,kilometres,,kilometres,66,1000.0,special - units
79,thousand kilometres,,thousand kilometres,66,1000000.0,special - units
80,passenger-kilometres,,passenger-kilometres,66,1000.0,special - units
81,thousand passenger-kilometres,,thousand passenger-kilometres,66,1000000.0,special - units
82,million passenger-kilometres,,million passenger-kilometres,66,1000000000.0,special - units
83,ton-kilometres,,ton-kilometres,83,1.0,special - units
84,thousand ton-kilometres,,thousand ton-kilometres,83,1000.0,special - units
85,million ton-kilometres,,million ton-kilometres,83,1000000.0,special - units
86,Kilowatt-hours,,one kilowatt-hour,86,1.0,special - units
87,DALY,,Disability-adjusted life year,87,1.0,special - units
88,thousand DALYs,,thousand disability-adjusted life years,87,1000.0,special - units
89,square metres,,square metres,89,1.0,special - units
90,square kilometres,,square kilometres,89,1000000.0,special - units
91,Joule,,Joule,91,1.0,special - units
92,Kilojoule,,Kilojoule,91,1000.0,special - units
93,Megajoule,,Megajoule,91,1000000.0,special - units
94,Gigajoule,,Gigajoule,91,1000000000.0,special - units
95,Terajoule,,Terajoule,91,1000000000000.0,special - units
96,Twenty-foot equivalent unit (TEU),,Twenty-foot equivalent unit (one cargo ship container),96,1.0,special - units
97,thousand Twenty-foot equivalent units (TEU),,thousand Twenty-foot equivalent units (thousand cargo ship containers),96,1000.0,special - units
98,million Twenty-foot equivalent units (TEU),,million Twenty-foot equivalent units (one million cargo ship containers),96,1000000.0,special - units
99,tonnes of CO2,,Tonnes of carbondioxide,99,1.0,volume
100,million tonnes of CO2,,Million tonnes of carbondioxide,99,1000000.0,volume
101,hours,,time in hours,182,60.0,special - units
102,subcriptions per 100 capita,,"subscriptions of particular services (mobile, broadband) per 100 capita",102,1.0,special - units
103,LCU,,Local currency unit,103,1.0,special - units
104,micrograms per cubic meter,,"micrograms (of something, such as fine matter particulates, per cubic meter)",104,1.0,volume
105,0.75 L bottle ,,drinks - xMO unit ,15,0.75,volume
106,0.5 L bottle,,drinks - xMO unit ,15,0.5,volume
107,1.8 L bottle ,,drinks - xMO unit ,15,1.8,volume
108,1.5 L bottle,,drinks - xMO unit ,15,1.5,volume
109,18.9 L bottle,,drinks - xMO unit ,15,18.9,volume
110,0.25 L can,,drinks - xMO unit ,15,0.25,volume
111,0.33 L bottle,,drinks - xMO unit ,15,0.33,volume
112,0.2 L can,,drinks - xMO unit ,15,0.2,volume
113,0.65 L bottle,,drinks - xMO unit ,15,0.65,volume
114,0.7 L bottle,,drinks - xMO unit ,15,0.7,volume
115,20-pcs. pack,,tobacco- xMO unit,19,20.0,volume
116,25-pcs. pack,,tobacco- xMO unit,19,25.0,volume
117,5-pcs. pack,,tobacco- xMO unit,19,5.0,volume
118,10-pcs. pack,,tobacco- xMO unit,19,10.0,volume
119,200-pcs. carton,,tobacco- xMO unit,19,200.0,volume
120,30 g pack,,tobacco- xMO unit,9,0.03,volume
121,50 g pack,,tobacco- xMO unit,9,0.05,volume
122,200 g pack,,tobacco- xMO unit,9,0.2,volume
123,40-pcs. pack,,wet toilet paper - xMO unit,9,0.04,volume
124,50-pcs. pack,,wet toilet paper - xMO unit,9,0.05,volume
125,60-pcs. pack,,wet toilet paper - xMO unit,9,0.06,volume
126,6-roll pack,,standard toilet paper - xMO unit,9,0.6,volume
127,8-roll pack,,standard toilet paper - xMO unit,9,0.8,volume
128,16-roll pack,,standard toilet paper - xMO unit,9,1.6,volume
129,4-roll pack,,household paper - xMO unit,9,0.4,volume
130,10-pcs. pack,,paper tissues - xMO unit,9,0.025,volume
131,15-pcs. pack,,paper tissues - xMO unit,9,0.0375,volume
132,20-pcs. pack,,paper tissues - xMO unit,9,0.05,volume
133,16-pcs. pack,,feminine hygiene - xMO unit,9,0.016,volume
134,32-pcs. pack,,feminine hygiene - xMO unit,9,0.032,volume
135,48-pcs. pack,,feminine hygiene - xMO unit,9,0.048,volume
136,30-pcs. pack,,baby diapers - xMO unit,9,0.75,volume
